customer_id,age,gender,region,acquisition_channel,subscription_type,contract_type,tenure_months,monthly_revenue,total_revenue,number_of_products_used,number_of_logins_last_30_days,average_session_duration,feature_usage_score,support_tickets_last_90_days,unresolved_tickets,late_payments,discount_used,payment_method,satisfaction_score,nps_score,last_interaction_days_ago,marketing_email_open_rate,campaign_click_rate,customer_success_calls,renewal_due_in_days,churn
CUST-000001,46,Male,North America,Partner,Basic,Annual,9,64.78,583.02,2,18,27.01,29.65,10,3,1,False,ACH,3.9,-24,21,0.349,0.023,0,287,0
CUST-000002,28,Female,North America,Paid Search,Basic,Monthly,52,39.91,2075.32,3,26,41.09,41.13,2,1,0,False,Credit Card,7.4,11,6,0.39,0.032,0,147,0
CUST-000003,52,Non-binary,Asia Pacific,Social,Professional,Monthly,14,94.12,1317.68,2,14,30.46,29.86,4,2,0,False,Credit Card,7.6,30,6,0.466,0.016,0,238,0
CUST-000004,54,Female,Latin America,Organic Search,Basic,Two-Year,17,43.13,733.21,4,20,32.42,36.67,0,0,0,False,Invoice,9.0,49,46,0.229,0.105,2,243,0
CUST-000005,18,Female,North America,Outbound Sales,Business,Monthly,22,247.09,5435.98,1,19,18.71,12.23,2,0,1,True,Invoice,8.4,58,33,0.289,0.01,0,170,0
CUST-000006,25,Male,Latin America,Social,Professional,Monthly,58,109.45,6348.1,5,23,35.97,41.88,2,0,0,False,Credit Card,9.1,68,46,0.512,0.02,1,78,0
CUST-000007,44,Female,North America,Partner,Professional,Monthly,23,143.41,3298.43,2,11,37.36,30.89,1,0,0,True,ACH,8.1,57,73,0.33,0.021,1,337,0
CUST-000008,38,Female,Latin America,Referral,Professional,Two-Year,25,118.26,2956.5,7,37,44.77,72.92,0,0,0,False,Invoice,8.7,36,10,0.295,0.045,0,108,0
CUST-000009,42,Male,Latin America,Organic Search,Basic,Monthly,18,56.51,1017.18,4,19,24.33,61.29,4,1,1,True,Credit Card,6.0,-1,1,0.276,0.067,0,312,0
CUST-000010,31,Male,Asia Pacific,Paid Search,Business,Annual,70,371.5,26005.0,2,25,23.24,36.7,2,0,0,False,Credit Card,7.0,11,15,0.354,0.114,1,149,0
CUST-000011,53,Female,Latin America,Organic Search,Professional,Monthly,31,77.2,2393.2,3,12,19.69,15.36,5,0,0,False,ACH,8.0,42,13,0.23,0.023,0,258,0
CUST-000012,52,Male,Middle East & Africa,Partner,Professional,Monthly,78,131.28,10239.84,3,20,33.78,42.33,5,3,0,False,Credit Card,4.2,-5,37,0.353,0.045,0,16,0
CUST-000013,43,Female,Latin America,Social,Business,Monthly,23,355.11,8167.53,3,16,19.28,30.13,5,3,1,False,Credit Card,6.8,36,31,0.331,0.037,3,363,0
CUST-000014,57,Female,Europe,Organic Search,Professional,Two-Year,15,161.0,2415.0,7,42,63.05,54.59,6,2,0,False,Credit Card,5.5,13,26,0.657,0.095,0,58,0
CUST-000015,48,Male,Europe,Partner,Professional,Monthly,23,125.57,2888.11,2,11,31.2,12.04,0,0,1,False,Credit Card,8.4,35,32,0.282,0.03,1,261,0
CUST-000016,31,Female,North America,Referral,Business,Monthly,38,360.33,13692.54,4,26,21.33,31.87,6,1,1,False,Credit Card,6.0,23,5,0.327,0.044,6,241,0
CUST-000017,47,Female,North America,Paid Search,Enterprise,Monthly,34,955.17,32475.78,7,32,45.78,71.88,1,0,0,True,ACH,9.8,74,120,0.278,0.021,1,285,0
CUST-000018,30,Female,Europe,Partner,Business,Annual,7,429.43,3006.01,6,25,28.83,54.93,2,0,0,False,ACH,6.7,31,1,0.742,0.042,2,272,0
CUST-000019,53,Male,North America,Partner,Basic,Monthly,57,32.82,1870.74,1,23,15.42,25.3,3,2,0,False,Invoice,6.8,59,35,0.113,0.02,0,202,0
CUST-000020,41,Male,Latin America,Partner,Professional,Annual,18,144.93,2608.74,3,24,40.65,41.27,3,0,0,False,Credit Card,7.7,48,10,0.398,0.129,2,266,0
CUST-000021,40,Female,North America,Organic Search,Professional,Annual,20,145.27,2905.4,3,24,13.83,40.87,4,0,0,False,ACH,4.4,-51,31,0.425,0.121,0,48,0
CUST-000022,33,Male,North America,Partner,Basic,Annual,36,63.93,2301.48,2,16,12.36,29.67,5,2,0,True,PayPal,6.1,5,116,0.332,0.086,0,338,0
CUST-000023,58,Male,North America,Partner,Business,Monthly,26,357.66,9299.16,6,28,38.08,46.71,5,1,0,False,PayPal,7.4,51,6,0.463,0.056,3,94,0
CUST-000024,40,Female,North America,Organic Search,Professional,Annual,22,125.66,2764.52,4,30,31.99,51.8,1,0,1,False,Credit Card,8.4,44,37,0.636,0.178,0,169,0
CUST-000025,36,Non-binary,North America,Partner,Professional,Monthly,16,130.17,2082.72,2,25,21.86,43.35,0,0,0,False,PayPal,8.4,35,5,0.66,0.101,2,182,0
